,Voids,Sheets,Filaments,Knots
Rosetta 0 data,0.35% ± 0.04%,31.91% ± 0.42%,62.65% ± 0.56%,5.08% ± 0.32%
Rosetta 0 rand,9.41% ± 0.30%,69.29% ± 0.50%,21.04% ± 0.34%,0.26% ± 0.04%
