,Voids,Sheets,Filaments,Knots
Rosetta 5 data,0.34% ± 0.05%,32.16% ± 0.37%,62.57% ± 0.49%,4.94% ± 0.29%
Rosetta 5 rand,8.03% ± 0.25%,71.36% ± 0.34%,20.36% ± 0.26%,0.26% ± 0.05%
