,Voids,Sheets,Filaments,Knots
Rosetta 4 data,0.33% ± 0.04%,32.42% ± 0.30%,61.56% ± 0.38%,5.69% ± 0.28%
Rosetta 4 rand,9.78% ± 0.27%,69.40% ± 0.47%,20.54% ± 0.35%,0.28% ± 0.05%
