,Voids,Sheets,Filaments,Knots
Rosetta 3 data,0.33% ± 0.05%,34.23% ± 0.36%,61.06% ± 0.42%,4.37% ± 0.27%
Rosetta 3 rand,6.45% ± 0.26%,71.88% ± 0.41%,21.45% ± 0.32%,0.22% ± 0.05%
