,Voids,Sheets,Filaments,Knots
Rosetta 2 data,0.30% ± 0.04%,32.62% ± 0.38%,63.48% ± 0.39%,3.60% ± 0.21%
Rosetta 2 rand,9.11% ± 0.30%,68.42% ± 0.44%,22.28% ± 0.29%,0.19% ± 0.04%
