,Voids,Sheets,Filaments,Knots
Rosetta 1 data,0.33% ± 0.04%,31.91% ± 0.32%,63.00% ± 0.46%,4.75% ± 0.30%
Rosetta 1 rand,9.35% ± 0.26%,69.19% ± 0.38%,21.21% ± 0.28%,0.25% ± 0.04%
