,Voids,Sheets,Filaments,Knots
Data,0.32% ± 0.03%,33.27% ± 0.88%,62.04% ± 0.83%,4.37% ± 0.63%
Random,7.84% ± 0.99%,70.56% ± 1.07%,21.37% ± 0.67%,0.23% ± 0.03%
